	Chr	Start	End	operon_name	Strand	GeneID	genes	ngenes	protein_coding	sigma	nascent_wt	total_wt	nascent_wt44	total_wt44
632	MG1655	1941651	1942583	znuA	-	operon_tu633	znuA	1	TRUE	sigma38	7	277	4	250
633	MG1655	1942662	1944199	znuCB	+	operon_tu634	znuC;znuB	2	TRUE	sigma70	6	196	12	477
634	MG1655	1944346	1945976	ruvAB	-	operon_tu635	ruvA;ruvB	2	TRUE	unknown	3	389	24	987
635	MG1655	1946251	1946853	yebB	+	operon_tu636	yebB	1	TRUE	sigma70	0	5	0	49
636	MG1655	1946855	1948632	nudB-yebC-ruvC	-	operon_tu637	nudB;yebC;ruvC	3	TRUE	sigma70	15	1264	25	1162
637	MG1655	1948750	1950522	aspS	-	operon_tu638	aspS	1	TRUE	unknown	13	929	16	773
638	MG1655	1950832	1952213	yecDE	+	operon_tu639	yecD;yecE	2	TRUE	unknown	0	151	4	206
639	MG1655	1952266	1954413	yecN-cmoAB	+	operon_tu640	yecN;cmoA;cmoB	3	TRUE	unknown	11	529	32	1298
640	MG1655	1954578	1958132	torYZ	-	operon_tu641	torY;torZ	2	TRUE	unknown	0	87	4	434
641	MG1655	1958441	1958520	micL	-	operon_tu642	micL	1	FALSE	sigma24	0	0	0	0
642	MG1655	1958441	1958747	micL	-	operon_tu643	micL	1	FALSE	sigma24	0	0	0	0
643	MG1655	1958520	1959846	yecM-cutC	-	operon_tu644	yecM;cutC	2	TRUE	unknown	0	103	2	180
644	MG1655	1960062	1961795	argS	+	operon_tu645	argS	1	TRUE	sigma70	3	233	11	475
645	MG1655	1961972	1962460	yecT	+	operon_tu646	yecT	1	TRUE	unknown	0	14	0	46
646	MG1655	1962580	1966191	flhBAE	-	operon_tu647	flhB;flhA;flhE	3	TRUE	sigma70	1	182	3	216
647	MG1655	196546	197898	rseP	+	operon_tu648	rseP	1	TRUE	sigma24	11	561	33	1153
648	MG1655	1966393	1972691	tar-tap-cheRBYZ	-	operon_tu649	tar;tap;cheR;cheB;cheY;cheZ	6	TRUE	sigma28	13	816	13	666
649	MG1655	1972836	1977302	motRAB-cheAW	-	operon_tu650	motR;motA;motB;cheA;cheW	5	TRUE	sigma28	15	342	5	261
650	MG1655	1977266	1978197	flhDC	-	operon_tu651	flhD;flhC	2	TRUE	sigma54	3	155	18	516
651	MG1655	1978176	1978395	asflhD	+	operon_tu652	asflhD	1	FALSE	sigma24	0	12	0	18
652	MG1655	1978518	1979215	insA5B5AB5	-	operon_tu653	insAB5;insA5;insB5	3	TRUE	unknown	0	0	0	0
653	MG1655	197928	208608	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	operon_tu654	bamA;skp;lpxD;fabZ;lpxA;lpxB;rnhB;dnaE	8	TRUE	sigma24	106	6843	259	8695
654	MG1655	1979753	1980181	uspC	+	operon_tu655	uspC	1	TRUE	unknown	6	223	7	267
655	MG1655	1980188	1982387	otsBA	-	operon_tu656	otsB;otsA	2	TRUE	sigma38	0	158	28	1468
656	MG1655	19811	20508	insA1B1AB1	-	operon_tu657	insAB1;insA1;insB1	3	TRUE	unknown	0	14	0	15
657	MG1655	1982554	1986128	araFGH	-	operon_tu658	araF;araG;araH	3	TRUE	sigma38	6	617	9	894
658	MG1655	1986925	1987428	ftnB	+	operon_tu659	ftnB	1	TRUE	sigma70	11	664	1	353
659	MG1655	1987507	1987758	yecJ	-	operon_tu660	yecJ	1	TRUE	unknown	1	10	1	24
660	MG1655	1987843	1988001	azuCR	-	operon_tu661	azuR;azuC	2	TRUE	sigma70	0	19	0	21
661	MG1655	1987873	1987959	azuCR	-	operon_tu662	azuR;azuC	2	TRUE	sigma70	0	0	0	0
662	MG1655	1988222	1988545	yecR	+	operon_tu663	yecR	1	TRUE	unknown	2	28	0	23
663	MG1655	1988716	1989213	ftnA	+	operon_tu664	ftnA	1	TRUE	sigma70	5	732	44	5212
664	MG1655	1989251	1989490	yecH	-	operon_tu665	yecH	1	TRUE	unknown	1	47	4	121
665	MG1655	1989681	1990892	tyrP	+	operon_tu666	tyrP	1	TRUE	sigma70	0	83	5	276
666	MG1655	1990954	1991619	yecA	-	operon_tu667	yecA	1	TRUE	unknown	8	769	11	628
667	MG1655	1991748	1992117	glyW-cysT-leuZ	-	operon_tu668	glyW;cysT;leuZ;3'ETS-<i>leuZ</i>	4	FALSE	sigma70	1	133	2	237
668	MG1655	1991815	1992117	glyW-cysT-leuZ	-	operon_tu669	glyW;cysT;leuZ;3'ETS-<i>leuZ</i>	4	FALSE	sigma70	0	0	0	0
669	MG1655	1992269	1992817	pgsA	-	operon_tu670	pgsA	1	TRUE	unknown	7	499	13	439
670	MG1655	1992874	1995359	uvrYC	-	operon_tu671	uvrY;uvrC	2	TRUE	sigma70	26	1003	59	1201
671	MG1655	1995818	1996042	yecF	+	operon_tu672	yecF	1	TRUE	sigma28	0	26	0	67
672	MG1655	1996110	1996832	sdiA	-	operon_tu673	sdiA	1	TRUE	sigma70	2	98	24	600
673	MG1655	1996921	1997057	sdsN	+	operon_tu674	sdsN	1	FALSE	sigma38	0	6	0	48
674	MG1655	1997062	1999480	dcyD-tcyLN	-	operon_tu675	dcyD;tcyL;tcyN	3	TRUE	unknown	2	431	12	531
675	MG1655	1999585	2001789	fliAZY	-	operon_tu676	fliA;fliZ;tcyJ	3	TRUE	sigma70	25	902	15	848
676	MG1655	2001912	2003606	fliCX	-	operon_tu677	fliC;fliX	2	TRUE	sigma28	15	1855	13	2705
677	MG1655	2003872	2006078	fliDST	+	operon_tu678	fliD;fliS;fliT	3	TRUE	sigma28	7	237	0	84
678	MG1655	2006156	2007643	amyA	+	operon_tu679	amyA	1	TRUE	sigma70	3	143	12	549
679	MG1655	2007677	2008090	yedD	-	operon_tu680	yedD	1	TRUE	unknown	0	203	1	199
680	MG1655	2008277	2009712	yedEF	+	operon_tu681	yedE;yedF	2	TRUE	unknown	7	324	7	319
681	MG1655	2009821	2010489	yedK	+	operon_tu682	yedK	1	TRUE	unknown	1	26	3	117
682	MG1655	2010600	2011079	yedL	+	operon_tu683	yedL	1	TRUE	unknown	1	25	6	73
683	MG1655	2011223	2012351	yedN	-	operon_tu684	yedN	1	FALSE	unknown	0	33	0	39
684	MG1655	2012502	2012780	intG	+	operon_tu685	intG	1	FALSE	unknown	0	15	0	27
685	MG1655	2012700	2013014	fliE	-	operon_tu686	fliE	1	TRUE	sigma28	1	12	0	21
686	MG1655	2013229	2019513	fliFGHIJK	+	operon_tu687	fliF;fliG;fliH;fliI;fliJ;fliK	6	TRUE	sigma28	16	809	4	486
687	MG1655	2019618	2023678	fliLMNOPQR	+	operon_tu688	fliL;fliM;fliN;fliO;fliP;fliQ;fliR	7	TRUE	sigma28	14	604	1	177
688	MG1655	2023968	2024591	rcsA	+	operon_tu689	rcsA	1	TRUE	sigma70	0	14	0	54
689	MG1655	2024635	2024823	dsrB	-	operon_tu690	dsrB	1	TRUE	unknown	0	60	6	285
690	MG1655	2024986	2025213	yodD	+	operon_tu691	yodD	1	TRUE	unknown	0	42	4	369
691	MG1655	2025223	2025313	dsrA	-	operon_tu692	dsrA	1	FALSE	sigma70	0	137	1	284
692	MG1655	2025511	2026326	yedP	+	operon_tu693	yedP	1	TRUE	unknown	0	75	7	403
693	MG1655	2026323	2028017	dgcQ	-	operon_tu694	dgcQ	1	TRUE	unknown	0	229	9	517
694	MG1655	2028188	2028370	yodC	-	operon_tu695	yodC	1	TRUE	unknown	0	83	5	348
695	MG1655	2028449	2029366	yedI	-	operon_tu696	yedI	1	TRUE	unknown	1	120	7	128
696	MG1655	2029539	2030459	yedA	+	operon_tu697	yedA	1	TRUE	unknown	0	26	0	53
697	MG1655	2030448	2032317	dcm-vsr	-	operon_tu698	dcm;vsr	2	TRUE	unknown	1	238	6	381
698	MG1655	2032384	2033421	yedRJ	-	operon_tu699	drpB;yedJ	2	TRUE	unknown	0	63	2	151
699	MG1655	2033649	2033739	rseX	+	operon_tu700	rseX	1	FALSE	unknown	0	10	0	24
700	MG1655	2034051	2035243	yedS	+	operon_tu701	yedS	1	FALSE	unknown	0	86	2	289
701	MG1655	2035835	2036686	hchA	+	operon_tu702	hchA	1	TRUE	sigma70	0	199	41	6266
702	MG1655	2036794	2038823	hprRS	-	operon_tu703	hprR;hprS	2	TRUE	unknown	1	195	8	507
703	MG1655	2038956	2041118	hiuH-msrPQ	+	operon_tu704	hiuH;msrP;msrQ	3	TRUE	sigma70	1	127	7	496
704	MG1655	2041375	2042025	zinT	+	operon_tu705	zinT	1	TRUE	sigma70	0	30	2	39
705	MG1655	2042368	2042898	yodB	+	operon_tu706	yodB	1	TRUE	unknown	0	8	2	33
706	MG1655	2043468	2043557	serU	-	operon_tu707	serU	1	FALSE	sigma70	33	14932	36	14521
707	MG1655	2043651	2044448	mtfA	+	operon_tu708	mtfA	1	TRUE	unknown	28	1591	17	1268
708	MG1655	2044549	2044624	asnT	+	operon_tu709	asnT	1	FALSE	sigma70	2	110	0	205
709	MG1655	2044938	2052014	yeeJ	+	operon_tu710	yeeJ	1	TRUE	unknown	2	208	31	1089
710	MG1655	2052276	2053328	yeeL	-	operon_tu711	yeeL	1	FALSE	unknown	0	32	1	50
711	MG1655	2053643	2054959	shiA	+	operon_tu712	shiA	1	TRUE	sigma70	4	285	6	319
712	MG1655	2055061	2056515	amn	+	operon_tu713	amn	1	TRUE	unknown	7	607	9	755
713	MG1655	2056858	2057574	yeeN	+	operon_tu714	yeeN	1	TRUE	unknown	0	167	5	239
714	MG1655	2058027	2058102	asnW	-	operon_tu715	asnW	1	FALSE	unknown	0	96	0	194
715	MG1655	2058203	2059846	yeeO	-	operon_tu716	yeeO	1	TRUE	unknown	3	352	3	612
716	MG1655	2059851	2059926	asnU	+	operon_tu717	asnU	1	FALSE	sigma70	0	154	2	248
717	MG1655	2059964	2060914	cbl	-	operon_tu718	cbl	1	TRUE	sigma70	0	78	5	162
718	MG1655	2061016	2061933	nac	-	operon_tu719	nac	1	TRUE	sigma54	2	37	5	136
719	MG1655	2062260	2062335	asnV	+	operon_tu720	asnV	1	FALSE	sigma70	2	75	6	299
720	MG1655	2062391	2063323	ldtA	-	operon_tu721	ldtA	1	TRUE	unknown	4	286	16	962
721	MG1655	2063388	2065764	cobUST	-	operon_tu722	cobU;cobS;cobT	3	TRUE	sigma70	8	441	30	1002
722	MG1655	2066305	2067285	insH6	-	operon_tu723	insH6	1	TRUE	unknown	0	10	1	37
723	MG1655	2068635	2070474	yoeA	+	operon_tu724	yoeA	1	FALSE	unknown	0	18	1	71
724	MG1655	2068952	2070180	insC3D3CD3	-	operon_tu725	insCD3;insC3;insD3	3	TRUE	unknown	0	2	0	9
725	MG1655	2070786	2071211	yeeP	+	operon_tu726	yeeP	1	FALSE	unknown	0	29	1	88
726	MG1655	2071317	2074658	isrC-flu	+	operon_tu727	isrC;flu	2	TRUE	sigma70	39	18195	86	28557
727	MG1655	2074779	2078134	yeeRST-cbeA-cbtA-yeeW	+	operon_tu728	yeeR;yeeS;yeeT;cbeA;cbtA;yeeW	6	TRUE	unknown	6	1262	9	1203
728	MG1655	2078575	2078931	yoeF	+	operon_tu729	yoeF	1	TRUE	unknown	0	23	0	40
729	MG1655	2079032	2079361	yeeX	-	operon_tu730	tmaR	1	TRUE	unknown	7	1520	12	3312
730	MG1655	2079533	2080591	yeeA	-	operon_tu731	yeeA	1	TRUE	unknown	3	180	3	233
731	MG1655	2080789	2081262	sbmC	-	operon_tu732	sbmC	1	TRUE	unknown	4	242	3	335
732	MG1655	2081381	2082547	dacD	-	operon_tu733	dacD	1	TRUE	unknown	2	102	7	204
733	MG1655	20815	21078	rpsT	-	operon_tu734	rpsT	1	TRUE	unknown	1	308	4	365
734	MG1655	2082756	2084183	sbcB	+	operon_tu735	sbcB	1	TRUE	unknown	3	315	6	255
735	MG1655	2084226	2085525	yeeED	-	operon_tu736	tsuA;tsuB	2	TRUE	unknown	1	66	3	197
736	MG1655	2085704	2087062	plaP	-	operon_tu737	plaP	1	TRUE	unknown	3	216	5	173
737	MG1655	208621	209580	accA	+	operon_tu738	accA	1	TRUE	sigma70	8	464	21	950
738	MG1655	2087329	2088258	yeeY	-	operon_tu739	yeeY	1	TRUE	unknown	1	244	4	402
739	MG1655	2088304	2089128	yeeZ	-	operon_tu740	yeeZ	1	TRUE	unknown	7	434	25	865
740	MG1655	2089211	2089713	yefM-yoeB	-	operon_tu741	yefM;yoeB	2	TRUE	sigma70	4	308	15	686
741	MG1655	2089996	2097225	hisLGDCBHAFI	+	operon_tu742	hisL;hisG;hisD;hisC;hisB;hisH;hisA;hisF;hisI	9	TRUE	sigma70	15	2025	38	2056
742	MG1655	209679	211820	ldcC	+	operon_tu743	ldcC	1	TRUE	sigma38	1	218	6	983
743	MG1655	2097321	2098301	wzzB	-	operon_tu744	wzzB	1	TRUE	unknown	8	343	25	625
744	MG1655	2098447	2099613	ugd	-	operon_tu745	ugd	1	TRUE	unknown	1	158	1	173
745	MG1655	2099862	2101268	gnd	-	operon_tu746	gnd	1	TRUE	sigma70	18	3106	30	6234
746	MG1655	2101895	2102875	insH-7	-	operon_tu747	insH7	1	TRUE	unknown	0	0	0	2
747	MG1655	2103391	2106057	wbbIJK	-	operon_tu748	wbbI;wbbJ;wbbK	3	TRUE	unknown	35	1767	28	1360
748	MG1655	2106060	2108329	glf-rfc	-	operon_tu749	glf;wbbH	2	TRUE	unknown	20	1121	22	1088
749	MG1655	2108337	2113061	rfbBDACX	-	operon_tu750	rfbB;rfbD;rfbA;rfbC;rfbX	5	TRUE	unknown	12	1192	38	2050
750	MG1655	2113434	2114327	galF	-	operon_tu751	galF	1	TRUE	unknown	5	472	22	1242
751	MG1655	2114502	2118404	wcaKLM	-	operon_tu752	wcaK;wcaL;wcaM	3	TRUE	unknown	1	73	0	156
752	MG1655	2118680	2132070	wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	-	operon_tu753	wcaC;wcaD;wcaE;wcaF;gmd;fcl;gmm;wcaI;cpsB;cpsG;wcaJ;wzxC	12	TRUE	unknown	1	223	4	425
753	MG1655	211877	212266	yaeR	+	operon_tu754	yaeR	1	TRUE	unknown	0	94	3	249
754	MG1655	212331	213629	tilS	+	operon_tu755	tilS	1	TRUE	unknown	0	109	3	217
755	MG1655	2132067	2137243	wza-wzb-wzc-wcaAB	-	operon_tu756	wza;wzb;wzc;wcaA;wcaB	5	TRUE	sigma24	0	56	0	136
756	MG1655	213678	214125	yaeP-rof	-	operon_tu757	yaeP;rof	2	TRUE	unknown	7	615	16	1785
757	MG1655	2137902	2139485	yegH	+	operon_tu758	yegH	1	TRUE	unknown	1	136	9	329
758	MG1655	2139759	2141612	asmA	-	operon_tu759	asmA	1	TRUE	unknown	11	918	33	920
759	MG1655	21407	27227	ribF-ileS-lspA-fkpB-ispH	+	operon_tu760	ribF;ileS;lspA;fkpB;ispH	5	TRUE	sigma70	38	2772	277	10220
760	MG1655	2141634	2142948	udk-dcd	-	operon_tu761	udk;dcd	2	TRUE	unknown	6	496	25	781
761	MG1655	214291	215979	yaeQ-arfB-nlpE	+	operon_tu762	yaeQ;arfB;nlpE	3	TRUE	unknown	4	450	27	875
762	MG1655	2143266	2146583	yegE	+	operon_tu763	dgcE	1	TRUE	unknown	1	259	5	318
763	MG1655	2146692	2147540	alkA	-	operon_tu764	alkA	1	TRUE	sigma38	2	95	0	131
764	MG1655	2147674	2149026	yegD	+	operon_tu765	yegD	1	TRUE	unknown	0	30	0	49
765	MG1655	2149039	2150985	yegI	-	operon_tu766	yegI	1	TRUE	unknown	1	52	4	166
766	MG1655	2151185	2151646	yegJ	+	operon_tu767	yegJ	1	TRUE	unknown	0	10	1	21
767	MG1655	2151711	2153128	yegL-pphC	-	operon_tu768	yegL;pphC	2	TRUE	unknown	0	36	0	78
768	MG1655	2153311	2153454	sibA	+	operon_tu769	sibA	1	FALSE	sigma70	39	14558	9	3065
769	MG1655	2153646	2153781	sibB	+	operon_tu770	sibB	1	FALSE	sigma70	70	5601	39	7811
770	MG1655	2154016	2164998	mdtABCD-baeSR	+	operon_tu771	mdtA;mdtB;mdtC;mdtD;baeS;baeR	6	TRUE	sigma38	2	348	9	773
771	MG1655	216179	217003	yaeF	-	operon_tu772	yaeF	1	TRUE	unknown	0	25	0	61
772	MG1655	2165189	2165521	yegP	+	operon_tu773	yegP	1	TRUE	unknown	0	43	0	400
773	MG1655	2165668	2167029	trhP	+	operon_tu774	trhP	1	TRUE	unknown	1	71	14	249
774	MG1655	2167114	2167200	cyaR	+	operon_tu775	cyaR	1	FALSE	sigma70	33	5232	48	11714
775	MG1655	2167302	2167520	ogrK	-	operon_tu776	ogrK	1	TRUE	unknown	0	41	5	342
776	MG1655	2167602	2168306	yegRZ	-	operon_tu777	yegR;yegZ	2	TRUE	sigma70	0	13	4	75
777	MG1655	2168712	2169611	yegS	+	operon_tu778	yegS	1	TRUE	unknown	4	67	4	277
778	MG1655	2169693	2171727	gatR_2	-	operon_tu779	gatR	1	FALSE	unknown	1	64	6	206
779	MG1655	2170236	2171398	insE5EF5F5	+	operon_tu780	insE5;insEF5;insF5	3	TRUE	unknown	0	2	0	5
780	MG1655	217057	218775	proS	-	operon_tu781	proS	1	TRUE	sigma70	4	813	10	1159
781	MG1655	2171833	2177204	gatYZABCD	-	operon_tu782	gatY;gatZ;gatA;gatB;gatC;gatD	6	TRUE	sigma70	1203	46027	2204	42645
782	MG1655	2177512	2178564	fbaB	-	operon_tu783	fbaB	1	TRUE	sigma38	5	326	19	1256
783	MG1655	2178821	2182061	yegTUV	+	operon_tu784	yegT;yegU;yegV	3	TRUE	unknown	2	111	5	319
784	MG1655	2182035	2182781	yegW	-	operon_tu785	yegW	1	TRUE	unknown	3	80	4	187
785	MG1655	2182833	2183651	yegX	-	operon_tu786	yegX	1	TRUE	unknown	0	62	1	83
786	MG1655	2183716	2185301	thiMD	-	operon_tu787	thiM;thiD	2	TRUE	unknown	0	57	4	199
787	MG1655	2185524	2185796	rcnR	-	operon_tu788	rcnR	1	TRUE	sigma70	0	22	0	75
788	MG1655	2185917	2187298	rcnAB	+	operon_tu789	rcnA;rcnB	2	TRUE	sigma70	0	124	2	312
789	MG1655	2187380	2192222	yehDCBA	-	operon_tu790	yehD;yehC;yehB;yehA	4	TRUE	unknown	0	134	3	286
790	MG1655	218887	219995	rcsF-trmO	-	operon_tu791	rcsF;trmO	2	TRUE	unknown	10	596	44	2361
791	MG1655	2192515	2192796	yehE	-	operon_tu792	yehE	1	TRUE	unknown	1	50	2	312
792	MG1655	2193059	2194168	mrp	-	operon_tu793	mrp	1	TRUE	sigma70	5	737	5	736
793	MG1655	2194300	2196333	metG	+	operon_tu794	metG	1	TRUE	sigma70	4	339	18	1388
794	MG1655	2196474	2197298	yehF	+	operon_tu795	yehF	1	TRUE	sigma70	0	17	1	54
795	MG1655	2197410	2203911	yehHI	+	operon_tu796	yehH;yehI	2	TRUE	unknown	0	121	2	284
796	MG1655	220113	222645	metNIQ	-	operon_tu797	metN;metI;metQ	3	TRUE	sigma70	3	667	14	1230
797	MG1655	2203972	2204289	yehK	+	operon_tu798	yehK	1	TRUE	unknown	0	1	0	2
798	MG1655	2204596	2210944	yehLMPQ	+	operon_tu799	yehL;yehM;yehP;yehQ	4	TRUE	unknown	0	100	3	220
799	MG1655	2211225	2211686	yehR	+	operon_tu800	yehR	1	TRUE	sigma32	0	3	1	16
800	MG1655	2211726	2212196	yehS	-	operon_tu801	yehS	1	TRUE	unknown	3	155	6	193
801	MG1655	2212243	2214644	btsSR	-	operon_tu802	btsS;btsR	2	TRUE	unknown	15	789	15	860
802	MG1655	2214866	2215597	mlrA	+	operon_tu803	mlrA	1	TRUE	sigma70	5	171	12	859
803	MG1655	2215657	2215764	yohO	+	operon_tu804	yohO	1	TRUE	unknown	0	16	2	46
804	MG1655	2215745	2219481	osmF-yehYXW	-	operon_tu805	osmF;yehY;yehX;yehW	4	TRUE	sigma32	1	189	6	356
805	MG1655	2219692	2221989	bglX	-	operon_tu806	bglX	1	TRUE	sigma70	6	327	9	522
806	MG1655	2222185	2223900	dld	+	operon_tu807	dld	1	TRUE	unknown	4	1648	9	1400
807	MG1655	2223938	2224870	pbpG	-	operon_tu808	pbpG	1	TRUE	unknown	2	147	0	157
808	MG1655	2225044	2225631	yohC	-	operon_tu809	yohC	1	TRUE	unknown	0	29	2	110
809	MG1655	2225801	2226379	yohD	+	operon_tu810	yohD	1	TRUE	unknown	1	175	7	456
810	MG1655	2226509	2227270	yohF	-	operon_tu811	yohF	1	TRUE	unknown	0	45	3	121
811	MG1655	2227323	2228758	mdtQ	-	operon_tu812	mdtQ	1	FALSE	unknown	0	14	0	28
812	MG1655	222833	223408	gmhB	+	operon_tu813	gmhB	1	TRUE	unknown	0	197	2	276
813	MG1655	2229438	2230385	dusC	-	operon_tu814	dusC	1	TRUE	unknown	0	18	4	46
814	MG1655	2230624	2231714	yohJK	+	operon_tu815	yohJ;yohK	2	TRUE	unknown	6	130	12	500
815	MG1655	2231844	2232728	cdd	+	operon_tu816	cdd	1	TRUE	sigma70	8	472	23	1355
816	MG1655	2232878	2233839	sanA-yeiS	+	operon_tu817	sanA;yeiS	2	TRUE	unknown	1	147	7	213
817	MG1655	2234033	2236500	preTA	+	operon_tu818	preT;preA	2	TRUE	sigma70	40	3570	182	10130
818	MG1655	2236743	2240348	mglBAC	-	operon_tu819	mglB;mglA;mglC	3	TRUE	sigma70	8	1206	27	1658
819	MG1655	223771	228875	rrsH-ileV-alaV-rrlH-rrfH	+	operon_tu820	rrsH;ileV;alaV;rrlH;rrfH	5	FALSE	sigma70	449	231229	1113	427753
820	MG1655	2240628	2241668	galS	-	operon_tu821	galS	1	TRUE	sigma70	1	122	5	144
821	MG1655	2241810	2243652	folE-yeiB	-	operon_tu822	folE;yeiB	2	TRUE	sigma70	3	402	20	609
822	MG1655	2243910	2244746	yeiG	+	operon_tu823	yeiG	1	TRUE	unknown	1	289	2	190
823	MG1655	2244778	2246769	cirA	-	operon_tu824	cirA	1	TRUE	sigma70	0	43	6	136
824	MG1655	2247063	2248532	lysP	-	operon_tu825	lysP	1	TRUE	sigma70	1	153	3	313
825	MG1655	2248737	2249618	yeiE	-	operon_tu826	yeiE	1	TRUE	unknown	4	195	7	248
826	MG1655	2249717	2250766	yeiH	+	operon_tu827	yeiH	1	TRUE	unknown	0	63	1	260
827	MG1655	2250840	2251697	nfo	+	operon_tu828	nfo	1	TRUE	sigma70	1	127	8	228
828	MG1655	2251700	2252788	yeiI	+	operon_tu829	yeiI	1	TRUE	unknown	0	121	4	106
829	MG1655	2252895	2254145	nupX	-	operon_tu830	nupX	1	TRUE	unknown	0	58	1	136
830	MG1655	2254245	2255186	rihB	-	operon_tu831	rihB	1	TRUE	sigma70	0	14	1	35
831	MG1655	2255355	2256014	yeiL	+	operon_tu832	yeiL	1	TRUE	sigma38	0	27	1	52
832	MG1655	2256085	2257335	psuT	-	operon_tu833	psuT	1	TRUE	unknown	3	85	1	174
833	MG1655	2257429	2259296	psuKG	-	operon_tu834	psuK;psuG	2	TRUE	unknown	0	64	2	142
834	MG1655	2259719	2263495	fruBKA	-	operon_tu835	fruB;fruK;fruA	3	TRUE	sigma70	29	4367	83	3920
835	MG1655	2263863	2265044	setB	+	operon_tu836	setB	1	TRUE	unknown	3	39	0	51
836	MG1655	2265041	2265295	yeiW	-	operon_tu837	yeiW	1	TRUE	unknown	0	19	0	12
837	MG1655	2265450	2266022	yeiP	+	operon_tu838	yeiP	1	TRUE	unknown	0	104	1	81
838	MG1655	2266245	2267711	yeiQ	+	operon_tu839	yeiQ	1	TRUE	unknown	1	99	6	223
839	MG1655	2267829	2269567	yeiR-lpxT	+	operon_tu840	yeiR;lpxT	2	TRUE	sigma70	0	126	5	175
840	MG1655	2269979	2270545	mepS	+	operon_tu841	mepS	1	TRUE	unknown	55	1608	145	3719
841	MG1655	2270726	2272282	pdeN	+	operon_tu842	pdeN	1	TRUE	unknown	3	187	4	147
842	MG1655	2272364	2277889	yejABEF	+	operon_tu843	yejA;yejB;yejE;yejF	4	TRUE	unknown	7	662	22	682
843	MG1655	2277893	2278237	yejG	-	operon_tu844	yejG	1	TRUE	unknown	0	33	1	86
844	MG1655	2278570	2279760	bcr	-	operon_tu845	bcr	1	TRUE	unknown	5	167	17	342
845	MG1655	2279788	2280483	rsuA	-	operon_tu846	rsuA	1	TRUE	unknown	5	204	15	480
846	MG1655	2280632	2282392	radD	+	operon_tu847	radD	1	TRUE	sigma54	3	85	3	135
847	MG1655	2282517	2282801	rplY	+	operon_tu848	rplY	1	TRUE	sigma70	3	1156	1	693
848	MG1655	2282940	2283947	yejK	-	operon_tu849	yejK	1	TRUE	unknown	3	187	7	321
849	MG1655	2284129	2286136	yejLM	+	operon_tu850	yejL;lapC	2	TRUE	unknown	4	478	12	493
850	MG1655	2286211	2286287	proL	+	operon_tu851	proL	1	FALSE	sigma70	51	20412	88	36758
851	MG1655	2286390	2290180	yejO	-	operon_tu852	yejO	1	FALSE	unknown	0	214	18	746
852	MG1655	2289065	2290045	insH-8	-	operon_tu853	insH8	1	TRUE	unknown	0	0	0	0
853	MG1655	228928	229004	aspU	+	operon_tu854	aspU	1	FALSE	unknown	92	29167	52	12014
854	MG1655	2290500	2291147	narP	+	operon_tu855	narP	1	TRUE	sigma32	0	125	23	1653
855	MG1655	2291358	2303497	napFDAGHBC-ccmABCDEFGH	-	operon_tu856	napF;napD;napA;napG;napH;napB;napC;ccmA;ccmB;ccmC;ccmD;ccmE;ccmF;ccmG;ccmH	15	TRUE	sigma70	7	741	32	2122
856	MG1655	229167	229970	dkgB	+	operon_tu857	dkgB	1	TRUE	sigma38	0	156	3	337
857	MG1655	229967	230881	yafC	-	operon_tu858	yafC	1	TRUE	unknown	1	154	7	491
858	MG1655	2303905	2304393	eco	+	operon_tu859	eco	1	TRUE	unknown	1	352	4	792
859	MG1655	2305108	2306754	mqo	-	operon_tu860	mqo	1	TRUE	unknown	0	38	2	88
860	MG1655	2306972	2308615	yojI	-	operon_tu861	yojI	1	TRUE	sigma70	0	31	3	106
861	MG1655	2308691	2310405	ada-alkB	-	operon_tu862	ada;alkB	2	TRUE	sigma70	0	231	14	569
862	MG1655	2310479	2311534	ftp	-	operon_tu863	ftp	1	TRUE	unknown	0	55	0	114
863	MG1655	231122	232549	yafDE	+	operon_tu864	yafD;yafE	2	TRUE	sigma32	14	517	71	2915
864	MG1655	2311646	2312749	ompC	-	operon_tu865	ompC	1	TRUE	sigma70	124	40844	135	35810
865	MG1655	2313084	2313176	micF	+	operon_tu866	micF	1	FALSE	sigma70	0	45	0	194
866	MG1655	2313488	2316827	rcsDB	+	operon_tu867	rcsD;rcsB	2	TRUE	sigma70	22	1658	53	2088
867	MG1655	2317027	2319876	rcsC	-	operon_tu868	rcsC	1	TRUE	unknown	0	312	9	537
868	MG1655	2320043	2323251	atoSC	+	operon_tu869	atoS;atoC	2	TRUE	unknown	8	1312	7	525
869	MG1655	2323447	2327293	atoDAEB	+	operon_tu870	atoD;atoA;atoE;atoB	4	TRUE	sigma54	0	45	3	190
870	MG1655	232597	233955	mltD	-	operon_tu871	mltD	1	TRUE	unknown	12	396	26	685
871	MG1655	2327367	2336644	yfaATSQP	-	operon_tu872	yfaA;yfaT;yfaS;yfaQ;yfaP	5	TRUE	unknown	1	133	1	392
872	MG1655	2336793	2339420	gyrA	-	operon_tu873	gyrA	1	TRUE	sigma70	8	1032	47	2181
873	MG1655	2339567	2340289	ubiG	+	operon_tu874	ubiG	1	TRUE	sigma70	0	87	2	123
874	MG1655	234027	234782	gloB	-	operon_tu875	gloB	1	TRUE	unknown	2	255	7	517
